layer,feature,label,f1_score
16,332,"Specific company names, market trends, and financial figures",0.769
16,105,Financial earnings and stock market performance discussions,0.692
16,214,Stock market trends and performance,0.76
16,66,News article titles about stock market and performance,0.577
16,181,stock market fluctuations and corporate earnings reports,0.635
16,203,Financial and corporate events mentions,0.22
16,340,News article titles mentioning stocks or markets,0.538
16,162,Stock market trends and earnings reports,0.76
16,267,"High-margin products, AI, business growth",0.269
16,133,Financial reports and stock market updates,0.8
