layer,feature_id,activation_score,interpretability_score,financial_relevance,interpretation_summary
4,1,0.85,0.82,0.82,"Basic financial terminology recognition"
4,127,0.92,0.89,0.89,"Numerical financial data processing"
4,141,0.78,0.75,0.75,"Financial context understanding"
4,156,0.87,0.84,0.84,"Market condition identification"
4,2,0.83,0.80,0.80,"Financial concept categorization"
4,25,0.81,0.78,0.78,"Basic financial relationship mapping"
4,3,0.79,0.76,0.76,"Financial entity recognition"
4,373,0.88,0.85,0.85,"Financial metric calculation"
4,384,0.89,0.86,0.86,"Financial decision support"
4,90,0.84,0.81,0.81,"Financial pattern recognition"
10,17,0.95,0.88,0.92,"Risk assessment and volatility analysis"
10,173,0.94,0.85,0.89,"Market sentiment and investor mood"
10,273,0.96,0.90,0.94,"Financial performance metrics"
10,292,0.89,0.82,0.87,"Liquidity and cash flow analysis"
10,303,0.91,0.86,0.88,"Debt and leverage evaluation"
10,343,0.87,0.84,0.85,"Market valuation and enterprise value"
10,372,0.93,0.87,0.91,"Dividend and income analysis"
10,384,0.88,0.83,0.86,"Earnings and profitability"
10,389,0.90,0.85,0.89,"Technical analysis and trends"
10,47,0.86,0.81,0.84,"Sector and industry analysis"
16,105,0.92,0.89,0.91,"Portfolio management and diversification"
16,133,0.94,0.87,0.93,"Trading execution and order flow"
16,162,0.88,0.85,0.86,"Compliance and regulatory framework"
16,181,0.91,0.88,0.90,"Derivatives and options trading"
16,203,0.89,0.86,0.87,"Currency and forex analysis"
16,214,0.93,0.90,0.92,"Bond and interest rate analysis"
16,267,0.87,0.84,0.85,"Commodity and raw material pricing"
16,332,0.90,0.87,0.89,"Merger and acquisition activity"
16,340,0.88,0.85,0.86,"IPO and public offering analysis"
16,66,0.86,0.83,0.84,"Analyst research and recommendations"
22,101,0.93,0.90,0.90,"Advanced risk modeling and stress testing"
22,184,0.91,0.88,0.88,"Complex derivative pricing models"
22,220,0.89,0.87,0.87,"Cross-asset correlation analysis"
22,239,0.92,0.91,0.91,"High-frequency trading algorithms"
22,276,0.88,0.86,0.86,"Regulatory capital requirements"
22,303,0.90,0.89,0.89,"Credit risk assessment models"
22,353,0.87,0.85,0.85,"Market microstructure analysis"
22,387,0.94,0.92,0.92,"Quantitative investment strategies"
22,396,0.91,0.90,0.90,"Algorithmic trading systems"
22,83,0.86,0.84,0.84,"Financial modeling and forecasting"
28,154,0.95,0.93,0.93,"Strategic financial planning and forecasting"
28,171,0.92,0.90,0.90,"Executive decision making and governance"
28,172,0.89,0.87,0.87,"Corporate strategy and M&A planning"
28,181,0.91,0.89,0.89,"Investment committee decision processes"
28,262,0.88,0.86,0.86,"Risk management and compliance oversight"
28,27,0.90,0.88,0.88,"Financial reporting and disclosure"
28,333,0.93,0.91,0.91,"Capital allocation and resource optimization"
28,350,0.87,0.85,0.85,"Stakeholder communication and relations"
28,389,0.94,0.92,0.92,"Final investment and strategic decisions"
28,83,0.86,0.84,0.84,"High-level financial analysis and synthesis"
