feature_id,total_activation,feature_label
364,2414.638931274414,feature_364
205,2401.3870391845703,feature_205
192,2038.2816772460938,feature_192
248,2011.87744140625,feature_248
254,1971.6153717041016,feature_254
41,1968.5103607177734,feature_41
37,1961.8130798339844,feature_37
93,1899.223861694336,feature_93
55,1835.2287139892578,feature_55
363,1825.9266967773438,feature_363
144,1825.0739288330078,feature_144
39,1805.2820129394531,feature_39
92,1781.20166015625,feature_92
215,1778.2440490722656,feature_215
15,1711.8036193847656,feature_15
56,1679.8280334472656,feature_56
110,1657.6747436523438,feature_110
48,1590.7482070922852,feature_48
213,1226.5461120605469,feature_213
264,1117.4616012573242,feature_264
219,465.499755859375,feature_219
139,463.82025146484375,feature_139
