feature_number,label,financial_activation,general_activation,specialization,num_financial_examples,num_general_examples
17,"Closed at 4,200 points (represents stock market trading and volatility)",-49.435916900634766,-65.69218673706055,16.256269836425787,5,5
372,"Closed at 4,200 points (represents stock market trading and volatility)",-18.227895164489745,-23.907635116577147,5.679739952087402,5,5
303,"Closed at 4,200 points (represents stock market trading and volatility)",-16.951164054870606,-22.629085540771484,5.677921485900878,5,5
389,"* 10.227: Stock market performance (specifically, the S&P 500 index)",-13.2280912399292,-17.878171920776367,4.650080680847168,5,5
343,,-14.251432800292969,-18.237936401367186,3.986503601074217,5,5
47,,-11.77768383026123,-15.489913749694825,3.712229919433595,5,5
273,Stock market trading and volatility,-11.68490810394287,-15.340689849853515,3.6557817459106445,5,5
173,,-11.895251655578614,-15.326327323913574,3.4310756683349606,5,5
384,,-8.890778160095214,-11.59558391571045,2.7048057556152347,5,5
292,,-9.129729175567627,-11.825505828857422,2.695776653289794,5,5
133,Stock market trading and volatility,-8.179450702667236,-10.808236885070801,2.628786182403566,5,5
116,,-8.926265335083007,-11.524460983276366,2.598195648193359,5,5
127,"* 4.974: Stock market performance (specifically, the S&P 500 index)",-7.440896892547608,-9.817605018615723,2.376708126068115,5,5
90,,-7.271243572235107,-9.564690017700196,2.2934464454650882,5,5
6,,-7.263141441345215,-9.552492332458495,2.2893508911132807,5,5
12,"* 4.552: Stock market performance (specifically, the S&P 500 index)",-7.203350067138672,-9.487298583984375,2.2839485168457028,5,5
184,,-7.413333606719971,-9.695308494567872,2.281974887847901,5,5
318,,-6.579768180847168,-8.796727275848388,2.2169590950012203,5,5
201,"* 4.705: Stock market performance (specifically, the S&P 500 index)",-7.0210541725158695,-9.231376266479492,2.2103220939636223,5,5
167,Stock market performance,-7.371798324584961,-9.536273574829101,2.1644752502441404,5,5
166,,-7.024909210205078,-9.179211616516113,2.154302406311035,5,5
255,,-7.231159496307373,-9.327278518676758,2.0961190223693853,5,5
52,,-5.989434909820557,-8.013316535949707,2.0238816261291506,5,5
347,,-6.411187934875488,-8.393277645111084,1.9820897102355959,5,5
105,(-5,-6.291403102874756,-8.250917053222656,1.9595139503479002,5,5
220,Closed at (4,-6.049222564697265,-7.989908218383789,1.9406856536865238,5,5
352,"Closed at 4,200 points (represents stock market trading and volatility)",-6.09477424621582,-8.007371616363525,1.9125973701477044,5,5
70,,-6.227834320068359,-8.089258861541747,1.8614245414733883,5,5
125,(5,-6.645592117309571,-8.505899047851562,1.8603069305419915,5,5
162,,-5.912223052978516,-7.72418966293335,1.8119666099548342,5,5
