feature_number,label
127,Stock market trading and volatility
141,Stock market trading and volatility
384,Stock market trading and volatility
3,"Closed at 4,200 points (represents stock market trading and volatility)"
90,
1,(12
156,
25,
373,Stock market trading and volatility
2,Stock market trading and volatility
297,
0,(7
53,
32,
347,Stock market trading and volatility
17,"Closed at 4,200 points (represents stock market trading and volatility)"
125,
237,
269,
14,
9,
372,"* 4.225: Stock market performance (specifically, the S&P 500 index)"
166,
8,(4
80,"Closed at 4,200 points (represents stock market trading and volatility)"
247,Stock market trading and volatility
12,"- <<The S&P 500 index closed at 4,200 points, up"
162,
176,
296,
