feature_number,financial_activation,general_activation,specialization,rank,layer
27,-85.50527954101562,-116.05064392089844,30.54536437988281,1,28
133,-77.50133514404297,-106.18441009521484,28.683074951171875,1,16
220,-59.81434631347656,-83.78982543945312,23.97547912597656,1,22
17,-56.54801559448242,-78.15149688720703,21.60348129272461,1,10
333,-41.71682357788086,-59.10324096679688,17.386417388916016,2,28
101,-38.5730094909668,-53.89508056640625,15.322071075439451,2,22
162,-38.18941879272461,-52.692012786865234,14.502593994140623,2,16
203,-32.10163116455078,-45.05216598510742,12.95053482055664,3,16
141,-28.768112182617188,-40.07299423217773,11.304882049560549,1,4
127,-29.550212860107425,-40.80727767944336,11.257064819335938,2,4
384,-27.15180969238281,-37.780052185058594,10.62824249267578,3,4
353,-25.84567642211914,-35.16520690917969,9.319530487060549,3,22
3,-21.577301025390625,-30.025827407836918,8.448526382446289,4,4
372,-20.653749465942383,-28.343555450439453,7.68980598449707,2,10
303,-19.436647415161133,-26.984107971191406,7.547460556030273,3,10
154,-0.5506580471992493,-8.067888259887695,7.517230033874512,3,28
90,-19.102275848388672,-26.58019256591797,7.477916717529297,5,4
239,-18.448692321777344,-25.85724639892578,7.408554077148437,4,22
214,-17.126726150512695,-24.401844024658203,7.275117874145508,4,16
262,-15.478174209594728,-22.58244132995605,7.104267120361328,4,28
66,-15.106383323669434,-22.024906158447266,6.918522834777832,5,16
1,-17.474838256835938,-24.2536563873291,6.778818130493164,6,4
340,-18.31003189086914,-24.90218162536621,6.59214973449707,6,16
389,-15.333168983459473,-21.781837463378903,6.448668479919434,4,10
83,-14.435102462768556,-20.823198318481445,6.388095855712891,5,28
156,-15.556123733520508,-21.601642608642575,6.04551887512207,7,4
105,-14.634759902954102,-20.64936637878418,6.014606475830078,7,16
343,-16.100534439086914,-21.877748489379883,5.777214050292969,5,10
350,-13.253442764282228,-18.54200935363769,5.288566589355469,6,28
303,-11.573334693908691,-16.78516960144043,5.211834907531738,5,22
172,-12.512819290161133,-17.66298484802246,5.150165557861328,7,28
372,-13.87693691253662,-18.994712829589844,5.117775917053223,8,28
47,-13.467580795288086,-18.52044486999512,5.052864074707031,6,10
83,-13.434694290161133,-18.481843948364254,5.047149658203125,6,22
273,-13.320098876953123,-18.33585548400879,5.015756607055664,7,10
267,-13.261348724365234,-18.14046669006348,4.879117965698242,8,16
184,-13.166009902954102,-18.03183364868164,4.865823745727539,7,22
25,-11.684349060058594,-16.505596160888672,4.821247100830078,8,4
387,-4.639636039733887,-9.413427352905272,4.773791313171387,8,22
332,-12.25071907043457,-16.9996395111084,4.748920440673828,9,16
173,-13.526739120483398,-18.236722946166992,4.709983825683594,8,10
181,-10.61450481414795,-15.280781745910645,4.666276931762695,10,16
198,-10.810503005981444,-15.473018646240234,4.662515640258789,9,28
22,-8.824563026428223,-13.278542518615724,4.4539794921875,10,28
373,-11.68198299407959,-16.123870849609375,4.441887855529785,9,4
159,-9.363162994384766,-13.796871185302734,4.433708190917969,11,28
396,-2.847333669662476,-7.26293420791626,4.415600776672363,9,22
389,-6.8959479331970215,-11.22695255279541,4.331004619598389,12,28
2,-11.164921760559082,-15.487785339355469,4.322863578796387,10,4
84,-9.54310417175293,-13.849268913269045,4.306164741516113,10,22
